Сверка 1.xlsx, лист Sheet1. Номера строк — номера строк Excel, не № п/п.
Сопоставление: входящий платёж (F, кредит) и расходный ордер (E, дебет), одинаковая сумма до копейки. Даты не ограничены. Совпадение суммы само по себе не подтверждает связь документов.
Однозначные пары по сумме: 274. Группы с повторяющимися суммами: 0. Без точного совпадения: платежей 9, ордеров 21.

ТОЧНЫЕ ОДНОЗНАЧНЫЕ ПАРЫ
Строка платежа | Строка ордера | Сумма, руб. | Документ платежа | Документ ордера
191 | 423 | 1373614,00 | Входящий платёж (28.12.23, № 12452) | Расходный ордер (22.02.24, № 23821)
218 | 597 | 336019,00 | Входящий платёж (18.01.24, № 12623) | Расходный ордер (30.05.24, № 25518)
250 | 658 | 84072,34 | Входящий платёж (01.02.24, № 12753) | Расходный ордер (03.07.24, № 26009)
251 | 659 | 154704,00 | Входящий платёж (01.02.24, № 12767) | Расходный ордер (03.07.24, № 26010)
258 | 680 | 67388,90 | Входящий платёж (13.02.24, № 12886) | Расходный ордер (03.07.24, № 26012)
269 | 681 | 151475,00 | Входящий платёж (16.02.24, № 12898) | Расходный ордер (03.07.24, № 26013)
278 | 691 | 103406,40 | Входящий платёж (22.02.24, № 12984) | Расходный ордер (03.07.24, № 26019)
432 | 694 | 8341,70 | Входящий платёж (01.03.24, № 13057) | Расходный ордер (03.07.24, № 26021)
433 | 696 | 26915,80 | Входящий платёж (01.03.24, № 13058) | Расходный ордер (03.07.24, № 26024)
434 | 699 | 60772,90 | Входящий платёж (01.03.24, № 13059) | Расходный ордер (03.07.24, № 26026)
446 | 702 | 8481,37 | Входящий платёж (06.03.24, № 13109) | Расходный ордер (03.07.24, № 26030)
447 | 706 | 15845,00 | Входящий платёж (07.03.24, № 13120) | Расходный ордер (03.07.24, № 26032)
450 | 707 | 68694,32 | Входящий платёж (08.03.24, № 13129) | Расходный ордер (03.07.24, № 26034)
455 | 722 | 46046,15 | Входящий платёж (12.03.24, № 13158) | Расходный ордер (03.07.24, № 26037)
457 | 595 | 44747,15 | Входящий платёж (13.03.24, № 13180) | Расходный ордер (30.05.24, № 25516)
460 | 723 | 15659,20 | Входящий платёж (14.03.24, № 13188) | Расходный ордер (03.07.24, № 26039)
463 | 726 | 6053,60 | Входящий платёж (15.03.24, № 13196) | Расходный ордер (03.07.24, № 26041)
465 | 733 | 33026,40 | Входящий платёж (18.03.24, № 13217) | Расходный ордер (03.07.24, № 26043)
473 | 735 | 5560,20 | Входящий платёж (21.03.24, № 13263) | Расходный ордер (03.07.24, № 26046)
474 | 740 | 22931,10 | Входящий платёж (22.03.24, № 13265) | Расходный ордер (03.07.24, № 26048)
479 | 742 | 7625,00 | Входящий платёж (26.03.24, № 13299) | Расходный ордер (03.07.24, № 26050)
480 | 745 | 21900,20 | Входящий платёж (26.03.24, № 13313) | Расходный ордер (03.07.24, № 26052)
485 | 749 | 5839,90 | Входящий платёж (28.03.24, № 13329) | Расходный ордер (03.07.24, № 26055)
487 | 753 | 33879,50 | Входящий платёж (29.03.24, № 13340) | Расходный ордер (03.07.24, № 26057)
489 | 754 | 12937,00 | Входящий платёж (01.04.24, № 13363) | Расходный ордер (03.07.24, № 26059)
492 | 761 | 6725,25 | Входящий платёж (05.04.24, № 13402) | Расходный ордер (03.07.24, № 26064)
496 | 763 | 16762,60 | Входящий платёж (08.04.24, № 13413) | Расходный ордер (03.07.24, № 26066)
501 | 770 | 55043,95 | Входящий платёж (11.04.24, № 13461) | Расходный ордер (03.07.24, № 26068)
508 | 771 | 12576,40 | Входящий платёж (16.04.24, № 13518) | Расходный ордер (03.07.24, № 26070)
509 | 776 | 37338,15 | Входящий платёж (17.04.24, № 13527) | Расходный ордер (03.07.24, № 26073)
512 | 777 | 15957,40 | Входящий платёж (18.04.24, № 13544) | Расходный ордер (03.07.24, № 26075)
515 | 779 | 17683,40 | Входящий платёж (19.04.24, № 13553) | Расходный ордер (03.07.24, № 26077)
518 | 781 | 4790,50 | Входящий платёж (22.04.24, № 13579) | Расходный ордер (03.07.24, № 26080)
519 | 784 | 16058,40 | Входящий платёж (23.04.24, № 13600) | Расходный ордер (03.07.24, № 26082)
521 | 785 | 119023,35 | Входящий платёж (25.04.24, № 13621) | Расходный ордер (03.07.24, № 26084)
524 | 794 | 41720,80 | Входящий платёж (29.04.24, № 13633) | Расходный ордер (03.07.24, № 26088)
525 | 791 | 9069,00 | Входящий платёж (29.04.24, № 13655) | Расходный ордер (03.07.24, № 26086)
547 | 807 | 3865,00 | Входящий платёж (28.05.24, № 13908) | Расходный ордер (03.07.24, № 26094)
551 | 808 | 9064,20 | Входящий платёж (30.05.24, № 13927) | Расходный ордер (03.07.24, № 26096)
608 | 815 | 24493,47 | Входящий платёж (10.06.24, № 14023) | Расходный ордер (03.07.24, № 26098)
616 | 820 | 143437,90 | Входящий платёж (18.06.24, № 14050) | Расходный ордер (03.07.24, № 26100)
617 | 822 | 17684,40 | Входящий платёж (18.06.24, № 14057) | Расходный ордер (04.07.24, № 26122)
618 | 824 | 118956,85 | Входящий платёж (18.06.24, № 14092) | Расходный ордер (04.07.24, № 26124)
621 | 826 | 39124,90 | Входящий платёж (21.06.24, № 14100) | Расходный ордер (04.07.24, № 26126)
623 | 830 | 17133,25 | Входящий платёж (25.06.24, № 14153) | Расходный ордер (04.07.24, № 26128)
624 | 836 | 74236,90 | Входящий платёж (27.06.24, № 14159) | Расходный ордер (04.07.24, № 26130)
625 | 837 | 8731,80 | Входящий платёж (27.06.24, № 14160) | Расходный ордер (04.07.24, № 26132)
626 | 839 | 13928,90 | Входящий платёж (01.07.24, № 14197) | Расходный ордер (04.07.24, № 26134)
628 | 873 | 15416,90 | Входящий платёж (02.07.24, № 14208) | Расходный ордер (15.10.24, № 27743)
630 | 875 | 2819,60 | Входящий платёж (03.07.24, № 14217) | Расходный ордер (15.10.24, № 27745)
841 | 877 | 5323,00 | Входящий платёж (11.07.24, № 14282) | Расходный ордер (15.10.24, № 27747)
842 | 879 | 5157,10 | Входящий платёж (19.07.24, № 14355) | Расходный ордер (15.10.24, № 27749)
846 | 881 | 5108,50 | Входящий платёж (01.08.24, № 14470) | Расходный ордер (15.10.24, № 27751)
847 | 882 | 568,00 | Входящий платёж (08.08.24, № 14536) | Расходный ордер (15.10.24, № 27753)
849 | 883 | 2127,23 | Входящий платёж (12.08.24, № 14565) | Расходный ордер (15.10.24, № 27754)
853 | 885 | 3296,80 | Входящий платёж (22.08.24, № 14657) | Расходный ордер (15.10.24, № 27755)
854 | 886 | 933,00 | Входящий платёж (23.08.24, № 14671) | Расходный ордер (15.10.24, № 27757)
855 | 888 | 3530,50 | Входящий платёж (26.08.24, № 14694) | Расходный ордер (15.10.24, № 27758)
858 | 892 | 3659,40 | Входящий платёж (28.08.24, № 14713) | Расходный ордер (15.10.24, № 27763)
859 | 890 | 3207,00 | Входящий платёж (28.08.24, № 14714) | Расходный ордер (15.10.24, № 27760)
861 | 895 | 17610,00 | Входящий платёж (04.09.24, № 14775) | Расходный ордер (15.10.24, № 27765)
862 | 896 | 20396,00 | Входящий платёж (05.09.24, № 14786) | Расходный ордер (15.10.24, № 27767)
863 | 898 | 6235,40 | Входящий платёж (06.09.24, № 14794) | Расходный ордер (15.10.24, № 27769)
866 | 900 | 6135,40 | Входящий платёж (04.10.24, № 15034) | Расходный ордер (15.10.24, № 27771)
870 | 1081 | 2105,00 | Входящий платёж (14.10.24, № 15108) | Расходный ордер (24.01.25, № 29414)
871 | 1085 | 14924,20 | Входящий платёж (15.10.24, № 15125) | Расходный ордер (24.01.25, № 29416)
906 | 1087 | 4533,40 | Входящий платёж (29.10.24, № 15243) | Расходный ордер (24.01.25, № 29418)
908 | 1089 | 3696,20 | Входящий платёж (31.10.24, № 15261) | Расходный ордер (24.01.25, № 29420)
